Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
FMC59VW4,journalArticle,2020,"Karimpouli, Sadegh; Tahmasebi, Pejman",Physics informed machine learning: Seismic wave equation,Geoscience Frontiers,,1674-9871,10.1016/j.gsf.2020.07.007,https://www.sciencedirect.com/science/article/pii/S1674987120301717,"Similar to many fields of sciences, recent deep learning advances have been applied extensively in geosciences for both small- and large-scale problems. However, the necessity of using large training data and the ‘black box’ nature of learning have limited them in practice and difficult to interpret. Furthermore, including the governing equations and physical facts in such methods is also another challenge, which entails either ignoring the physics or simplifying them using unrealistic data. To address such issues, physics informed machine learning methods have been developed which can integrate the governing physics law into the learning process. In this work, a 1-dimensional (1D) time-dependent seismic wave equation is considered and solved using two methods, namely Gaussian process (GP) and physics informed neural networks. We show that these meshless methods are trained by smaller amount of data and can predict the solution of the equation with even high accuracy. They are also capable of inverting any parameter involved in the governing equation such as wave velocity in our case. Results show that the GP can predict the solution of the seismic wave equation with a lower level of error, while our developed neural network is more accurate for velocity (P- and S-wave) and density inversion.",2020-11-01,2024-02-01 23:38:43,2024-09-02 14:42:41,2024-02-01 23:38:43,1993-2001,,6.0,11,,Geoscience Frontiers,Physics informed machine learning,,,,,,,,,,,,ScienceDirect,,25 - Yes - Inverse,,C:\Users\orincon\Zotero\storage\TLCZRAWN\Karimpouli and Tahmasebi - 2020 - Physics informed machine learning Seismic wave eq.pdf; C:\Users\orincon\Zotero\storage\L8R35MEI\S1674987120301717.html; C:\Users\orincon\Zotero\storage\PL8KJIBX\S1674987120301717.html; C:\Users\orincon\Zotero\storage\MS77RZSL\display.html,,Gaussian process (GP); Optimization; Physics informed machine learning (PIML); Seismic wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NF5UUJBE,journalArticle,2021,"Roncoroni, G.; Fortini, C.; Bortolussi, L.; Bienati, N.; Pipan, M.",Synthetic seismic data generation with deep learning,Journal of Applied Geophysics,,,10.1016/j.jappgeo.2021.104347,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105485680&doi=10.1016%2fj.jappgeo.2021.104347&partnerID=40&md5=3af63ea8d2d493d495bf417521183cfa,,2021,2024-07-24 21:50:23,2024-09-02 14:23:38,,,,,190,,,,,,,,,,,,,Scopus,,,,1 - Yes - Forward,,C:\Users\orincon\Zotero\storage\6LDFXL6L\display.html; C:\Users\orincon\Zotero\storage\2JJC8FGM\display.html; C:\Users\orincon\Zotero\storage\M299LHKD\Roncoroni et al. - 2021 - Synthetic seismic data generation with deep learni.pdf,,Comparative; Deep learning; Machine learning; Reflection seismic; RNN; Seismic modelling; Synthetic seismogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AECBBNXL,journalArticle,2024,"Zhao, H.; Hao, Y.; Xu, W.; Li, C.",Adaptive-Sampling Physics-Informed Neural Network for Viscoacoustic Wavefield Simulation,IEEE Geoscience and Remote Sensing Letters,,,10.1109/LGRS.2024.3418814,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197607039&doi=10.1109%2fLGRS.2024.3418814&partnerID=40&md5=6bfc1da31980129f0220e1622d51d487,,2024,2024-07-24 21:50:23,2024-09-02 14:28:05,,,,,21,,,,,,,,,,,,,Scopus,,,,9 - No,,C:\Users\orincon\Zotero\storage\L6QQ84KJ\10570494.html; C:\Users\orincon\Zotero\storage\9Q4DNRX6\10570494.html; C:\Users\orincon\Zotero\storage\LKD5E8QK\Zhao et al. - 2024 - Adaptive-Sampling Physics-Informed Neural Network .pdf,,Adaptation models; Adaptive sampling; Frequency-domain analysis; Mathematical models; Neurons; Numerical models; physics-informed neural networks (PINNs); Propagation; Training; viscoacoustic waves; wave propagation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98QQB78B,journalArticle,2022,"Xiong, F.; Liu, J.; Guo, Z.; Liu, J.",Deep-neural-networks-based approaches for Biot–squirt model in rock physics,Acta Geophysica,,,10.1007/s11600-022-00740-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124572610&doi=10.1007%2fs11600-022-00740-8&partnerID=40&md5=92c67ecd7a754c1f6a3297a92a466af5,"A new cost-effective surrogate model using deep neural network (DNN) for seismic wave propagation in rocks saturated with fluid is presented. In this field, the dispersion/attenuation analysis and wave-field simulation are two key measurements which can be carried out by solving wave equations. The Biot–squirt (BISQ) equation is a classical wave propagation model in geophysical forward modeling and has been widely used. The solution of such equation, especially by numerical method, is often complex and time-consuming. In this work, a DNN model is trained with the dataset of velocity and inverse quality factor generated from BISQ model. The results show that the relative mean square error between the predictions of DNN model and that of BISQ model on the test sets are all less than 3%. It indicates that the DNN model has learned the high-dimensional space well and then can realize the dispersion/attenuation analysis for any given rock physical parameters. Besides, the other well-trained DNN model is used to obtain the simulation results with second-order accuracy according to results by finite difference scheme with first-order accuracy. It reveals that the fast wave-field simulation can be implemented once the results with lower accuracy are obtained.",2022,2024-07-24 21:50:24,2024-09-02 15:27:31,,593-607,,2.0,70,,,,,,,,,,,,,Scopus,,,,33 - Yes- Forward,,C:\Users\orincon\Zotero\storage\2DASUSEX\display.html; C:\Users\orincon\Zotero\storage\Y44A94F8\Xiong et al. - 2022 - Deep-neural-networks-based approaches for Biot–squ.pdf; C:\Users\orincon\Zotero\storage\TK7DMNLD\Xiong et al. - 2022 - Deep-neural-networks-based approaches for Biot–squ.pdf,,,Deep neural network; Dispersion and attenuation; Numerical simulation; Training and test; Wave propagation model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I86SGPQ7,journalArticle,2024,"Zou, J.; Liu, C.; Zhao, P.; Song, C.",Seismic Wavefields Modeling With Variable Horizontally Layered Velocity Models via Velocity-Encoded PINN,IEEE Transactions on Geoscience and Remote Sensing,,,10.1109/TGRS.2024.3411472,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195415018&doi=10.1109%2fTGRS.2024.3411472&partnerID=40&md5=6f7e5041e2a7ca3d4f8ea8c3c776be15,,2024,2024-07-24 21:50:24,2024-09-02 14:36:37,,,,,62,,,,,,,,,,,,,Scopus,,,,15 - Yes - Forward,,C:\Users\orincon\Zotero\storage\FWS92VRX\10551894.html; C:\Users\orincon\Zotero\storage\KKNVIU5H\10551894.html; C:\Users\orincon\Zotero\storage\H42AU7CB\Zou et al. - 2024 - Seismic Wavefields Modeling With Variable Horizont.pdf,,comparative ML and SNM; Computational modeling; Mathematical models; Numerical models; Physics-informed neural network (PINN); Position measurement; Propagation; seismic modeling; Time-domain analysis; Training; variable velocity models; velocity-encoded (VE) strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFBQGF7P,journalArticle,2024,"Ji, Duofa; Li, Chenxi; Zhai, Changhai; Cao, Zelin",An Efficient Platform for Numerical Modeling of Partial Differential Equations,IEEE Transactions on Geoscience and Remote Sensing,,1558-0644,10.1109/TGRS.2024.3409620,https://ieeexplore.ieee.org/document/10549528,"Solving partial differential equations (PDEs) is a fundamental task for computational electromagnetic and mechanical wave modeling, which hold utmost significance in remote sensing and geophysics. The importance of efficient PDEs solving methods lies in their ability to provide rapid simulations and real-time predictions. However, as the scale and dimensionality of the problems increase, the efficiency of current numerical methods becomes a concern. Therefore, this study leverages the inherent connection between the temporal-spatial stepping processes and recurrent neural networks (RNNs) as well as convolutional layers (CLs) to propose a general-purpose recurrent convolutional neural network (RCNN) platform for solving PDEs. The RCNN platform rigorously executes the temporal-spatial iterations involved in discretized forms of PDEs. Furthermore, benefiting from the latest advancements in deep learning, the platform enhances the efficiency of convolutional computations. By applying the RCNN platform to electromagnetic, acoustic wave, and seismic wave modeling, among others, its reliability and high efficiency in solving various high-dimensional PDEs are demonstrated.",2024,2024-08-22 00:04:42,2024-08-28 00:11:27,2024-08-14,1–13,,,62,,,,,,,,,,,,,,,,,2 - Yes - Forward,,C:\Users\orincon\Zotero\storage\L8CAZT8D\10549528.html; C:\Users\orincon\Zotero\storage\XWIV5JFX\Ji et al. - 2024 - An Efficient Platform for Numerical Modeling of Pa.pdf,,Acoustic waves; Comparative; Efficient numerical modeling; machine learning framework; Magnetic fields; Mathematical models; Numerical models; Partial differential equations; partial differential equations (PDEs); recurrent convolutional neural network (RCNN); Seismic waves; Three-dimensional displays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8A7IB9PE,journalArticle,2021,"Waheed, U.B.; Haghighat, E.; Alkhalifah, T.; Song, C.; Hao, Q.",PINNeik: Eikonal solution using physics-informed neural networks,Computers and Geosciences,,,10.1016/j.cageo.2021.104833,,"The eikonal equation is utilized across a wide spectrum of science and engineering disciplines. In seismology, it regulates seismic wave traveltimes needed for applications like source localization, imaging, and inversion. Several numerical algorithms have been developed over the years to solve the eikonal equation. However, these methods require considerable modifications to incorporate additional physics, such as anisotropy, and may even breakdown for certain complex forms of the eikonal equation, requiring approximation methods. Moreover, they suffer from computational bottleneck when repeated computations are needed for perturbations in the velocity model and/or the source location, particularly in large 3D models. Here, we propose an algorithm to solve the eikonal equation based on the emerging paradigm of physics-informed neural networks (PINNs). By minimizing a loss function formed by imposing the eikonal equation, we train a neural network to output traveltimes that are consistent with the underlying partial differential equation. We observe sufficiently high traveltime accuracy for most applications of interest. We also demonstrate how the proposed algorithm harnesses machine learning techniques like transfer learning and surrogate modeling to speed up traveltime computations for updated velocity models and source locations. Furthermore, we use a locally adaptive activation function and adaptive weighting of the terms in the loss function to improve convergence rate and solution accuracy. We also show the flexibility of the method in incorporating medium anisotropy and free-surface topography compared to conventional methods that require significant algorithmic modifications. These properties of the proposed PINN eikonal solver are highly desirable in obtaining a flexible and efficient forward modeling engine for seismological applications. © 2021 Elsevier Ltd",2021,2024-08-24 16:01:01,2024-08-26 04:40:34,,,,,155,,,PINNeik,,,,,,,,,,Scopus,,Scopus,,28 - No,,C:\Users\orincon\Zotero\storage\XXHQGT7M\display.html; C:\Users\orincon\Zotero\storage\MI57RJ84\Waheed et al. - 2021 - PINNeik Eikonal solution using physics-informed n.pdf,,,Eikonal equation; Physics-informed neural networks; Seismic modeling; Traveltimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSPM3F3D,journalArticle,2022,"Huang, X.; Alkhalifah, T.",PINNup: Robust Neural Network Wavefield Solutions Using Frequency Upscaling and Neuron Splitting,Journal of Geophysical Research: Solid Earth,,,10.1029/2021JB023703,,"Seismic wave-equation based methods, for example, full waveform inversion, are currently used to illuminate the interior of Earth. Solving for the frequency-domain scattered wavefield via physics-informed neural network (PINN) has great potential in increasing the flexibility and reducing the computational cost of seismic modeling and inversion. However, when dealing with high-frequency wavefields using PINN, its accuracy and training cost limit its application. Thus, we propose a novel implementation of PINN using frequency upscaling and neuron splitting, which allows the neural network model to grow in size as we increase the frequency while leveraging the information from the pre-trained model for lower-frequency wavefields, resulting in fast convergence to highly accurate wavefield solutions. Numerical results show that, compared to the commonly used PINN with random initialization, the proposed PINN exhibits notable superiority in terms of convergence and accuracy and can achieve neuron based high-frequency wavefield solutions with a shallow model. © 2022. American Geophysical Union. All Rights Reserved.",2022,2024-08-24 16:03:22,2024-08-26 05:04:27,,,,6.0,127,,,PINNup,,,,,,,,,,Scopus,,Scopus,,31 - No,,C:\Users\orincon\Zotero\storage\A89TDJB3\display.html; C:\Users\orincon\Zotero\storage\ICK24LPZ\Huang y Alkhalifah - 2022 - PINNup Robust Neural Network Wavefield Solutions .pdf,,,frequency upscaling; frequency-domain seismic modeling; neuron splitting; physics-informed neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHPCN5LE,journalArticle,2023,"Yu, Y.; Li, Y.; Wu, X.; Jia, X.",Enhancing one-way wave equation-based migration with deep learning,Geophysics,,,10.1190/geo2022-0159.1,,"One advantage of one-way wave equation-based migration is its low computational cost. However, due to the limited wavefield propagation angle, it is difficult to use one-way wave equation-based migration for high-precision imaging of structures with large inclinations due to issues such as inaccurate amplitudes and migration image artifacts. In addition, when the model has large horizontal velocity differences, it is difficult for the one-way wave propagator to calculate an accurate wavefield phase. Reverse time migration (RTM) based on the two-way wave propagator has a high resolution and avoids the issues associated with one-way wave propagators; however, it has a high computational cost in practical applications. We develop a convolutional neural network (CNN) application mode that improves one migration method by learning from another one and design a CNN with a structure similar to U-net that combines the advantages of both migration methods. The CNN label is the RTM result, and the corresponding input is the result of one-way wave migration with a generalized screen propagator (GSP). The trained CNN model improves the amplitude in the one-way wave migration image and removes the errors caused by large lateral velocity perturbations. Moreover, by maintaining the high migration calculation efficiency, our CNN model allows for a high resolution, few artifacts, and accurate images of steep structures in the one-way wave migration result. With our method, the accuracy of the one-way wave migration result is close to that of the RTM result. The use of GSP-based migration in our CNN model rather than conventional RTM to generate prospecting images can considerably reduce the calculation costs. © 2023 Society of Exploration Geophysicists.",2023,2024-08-24 16:07:36,2024-08-26 05:19:03,,WA105-WA114,,1.0,88,,,,,,,,,,,,,Scopus,,Scopus,,34 - Yes - Inverse,,C:\Users\orincon\Zotero\storage\55MBFY4G\display.html; C:\Users\orincon\Zotero\storage\CU2CLGWQ\Yu et al. - 2023 - Enhancing one-way wave equation-based migration wi.pdf,,,high resolution; machine learning; migration; one way; reverse time migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWLWFJN6,journalArticle,2021,"Song, C.; Alkhalifah, T.; Waheed, U.B.",Solving the frequency-domain acoustic VTI wave equation using physics-informed neural networks,Geophysical Journal International,,,10.1093/gji/ggab010,,"Frequency-domain wavefield solutions corresponding to the anisotropic acoustic wave equation can be used to describe the anisotropic nature of the Earth. To solve a frequency-domain wave equation, we often need to invert the impedance matrix. This results in a dramatic increase in computational cost as the model size increases. It is even a bigger challenge for anisotropic media, where the impedance matrix is far more complex. In addition, the conventional finite-difference method produces numerical dispersion artefacts in solving acoustic wave equations for anisotropic media. To address these issues, we use the emerging paradigm of physics-informed neural networks (PINNs) to obtain wavefield solutions for an acoustic wave equation for transversely isotropic (TI) media with a vertical axis of symmetry (VTI). PINNs utilize the concept of automatic differentiation to calculate their partial derivatives, which are free of numerical dispersion artefacts. Thus, we use the wave equation as a loss function to train a neural network to provide functional solutions to the acoustic VTI form of the wave equation. Instead of predicting the pressure wavefields directly, we solve for the scattered pressure wavefields to avoid dealing with the point-source singularity. We use the spatial coordinates as input data to the network, which outputs the real and imaginary parts of the scattered wavefields and auxiliary function. After training a deep neural network, we can evaluate the wavefield at any point in space almost instantly using this trained neural network without calculating the impedance matrix inverse. We demonstrate these features on a simple 2-D anomaly model and a 2-D layered model. Additional tests on a modified 3-D Overthrust model and a 2-D model with irregular topography further validate the effectiveness of the proposed method. © 2021 The Author(s) 2021. Published by Oxford University Press on behalf of The Royal Astronomical Society.",2021,2024-08-24 16:17:13,2024-08-26 06:01:56,,846-859,,2.0,225,,,,,,,,,,,,,Scopus,,Scopus,,40 - No,,C:\Users\orincon\Zotero\storage\EFTHI8C3\display.html; C:\Users\orincon\Zotero\storage\QFVPVGJJ\Song et al. - 2021 - Solving the frequency-domain acoustic VTI wave equ.pdf,,,"Neural networks, fuzzy logic; Numerical modelling; Seismic anisotropy; Wave propagation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYX6M72D,journalArticle,2024,"Guo, K.; Zong, Z.; Yang, J.; Tan, Y.",Parametric elastic full waveform inversion with convolutional neural network,Acta Geophysica,,,10.1007/s11600-023-01123-3,,"Elastic full waveform inversion (EFWI) is a powerful tool for estimating elastic models by reducing the misfit between multi-component seismic records and simulated data. However, when multiple parameters are updated simultaneously, the gradients of the loss function with respect to these parameters will be coupled together, the effect exacerbate the nonlinear problem. We propose a parametric EFWI method based on convolutional neural networks (CNN-EFWI). The parameters that need to be updated are the weights in the neural network rather than the elastic models. The convolutional kernel in the network can increase spatial correlations of elastic models, which can be regard as a regularization strategy to mitigate local minima issue. Furthermore, the representation also can mitigate the cross-talk between parameters due to the reconstruction of Frechét derivatives by neural networks. Both forward and backward processes are implemented using a time-domain finite-difference solver for elastic wave equation. Numerical examples on overthrust models, fluid saturated models and 2004 BP salt body models demonstrate that CNN-EFWI can partially mitigate the local minima problem and reduce the dependence of inversion on the initial models. Mini-batch configuration is used to speed up the update and achieve fast convergence. In addition, the inversion of noisy data further verifies the robustness of CNN-EFWI. © The Author(s) under exclusive licence to Institute of Geophysics, Polish Academy of Sciences & Polish Academy of Sciences 2023.",2024,2024-08-24 16:18:29,2024-08-26 06:05:18,,673-687,,2.0,72,,,,,,,,,,,,,Scopus,,Scopus,,41 - Yes - Inverse,,C:\Users\orincon\Zotero\storage\UAQL325S\Guo et al. - 2024 - Parametric elastic full waveform inversion with co.pdf; C:\Users\orincon\Zotero\storage\3MCSIBKN\display.html,,,Convolutional neural network; Full waveform inversion; Machine learning; Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
