x,approx_1_neurons,approx_2_neurons,approx_3_neurons,approx_4_neurons,approx_5_neurons,original
-1.1,0.5506708,1.5213256,1.0465255,1.0434709,1.0288382,1.0384114092684715
-1.077777777777778,0.5507915,1.4895263,1.1246753,1.1237187,1.1201606,1.1201198059937916
-1.0555555555555556,0.5509171,1.4566207,1.1933475,1.1939578,1.1973324,1.192379409111923
-1.0333333333333334,0.5510479,1.4225593,1.2521377,1.2538123,1.2608752,1.2543971420180715
-1.0111111111111113,0.55118424,1.3872924,1.3006644,1.3029523,1.3112631,1.305508445317057
-0.9888888888888889,0.55132645,1.3507705,1.3385825,1.3410821,1.3489285,1.3451855223579816
-0.9666666666666668,0.5514749,1.3129401,1.3656077,1.367969,1.3742518,1.3730438991894112
-0.9444444444444445,0.55163014,1.2737441,1.381515,1.38345,1.3875875,1.3888472180562652
-0.9222222222222223,0.5517925,1.2331405,1.3861499,1.3874459,1.3892589,1.3925102053458684
-0.9000000000000001,0.55196255,1.191072,1.3794532,1.3799562,1.3795786,1.3840997774056962
-0.8777777777777779,0.55214083,1.1474853,1.3614497,1.3610835,1.35886,1.3638342706215085
-0.8555555555555556,0.552328,1.1023269,1.3323073,1.331059,1.3274455,1.3320808052786501
-0.8333333333333335,0.55252457,1.0555472,1.2922912,1.2902198,1.285718,1.2893508157459186
-0.8111111111111111,0.5527315,1.0071158,1.2418208,1.2390409,1.234127,1.2362938021367484
-0.788888888888889,0.55294955,0.9569869,1.181457,1.1781306,1.173214,1.1736893805375925
-0.7666666666666667,0.55317956,0.90511847,1.1119056,1.1082428,1.1036301,1.1024377298777632
-0.7444444444444445,0.5534226,0.8514991,1.0340228,1.0302622,1.0261571,1.023548553289897
-0.7222222222222223,0.55367976,0.7961173,0.94882536,0.94522,0.9417212,0.9381286901316113
-0.7000000000000001,0.5539525,0.7389884,0.8574672,0.854259,0.8513973,0.8473685314810298
-0.6777777777777778,0.554242,0.68013906,0.76122236,0.7586527,0.75640917,0.7525274066762917
-0.6555555555555557,0.5545501,0.6196151,0.66150045,0.6597645,0.6581111,0.65491812115999
-0.6333333333333334,0.5548785,0.55752325,0.5597739,0.5590346,0.5579674,0.5558908363571834
-0.6111111111111112,0.55522925,0.49398565,0.45760107,0.4579537,0.45751595,0.4568164904310814
-0.5888888888888889,0.55560476,0.42918348,0.3565631,0.35804963,0.3583293,0.35906996442362193
-0.5666666666666668,0.55600786,0.36337233,0.25824308,0.26084137,0.26196766,0.2640132014291481
-0.5444444444444445,0.5564416,0.29686117,0.16419935,0.16781569,0.1699369,0.1729784870294312
-0.5222222222222223,0.5569095,0.2300601,0.07592535,0.08041239,0.08365202,0.08725209723031235
-0.5000000000000001,0.557416,0.1634841,-0.005171299,-2.7656555e-05,0.004402399,0.008058515608677208
-0.47777777777777786,0.557966,0.09775877,-0.07781458,-0.07225561,-0.066664696,-0.06345458564068096
-0.4555555555555556,0.5585652,0.033671856,-0.14086199,-0.13516712,-0.12856102,-0.12623041548903724
-0.43333333333333335,0.5592207,-0.027847767,-0.19332361,-0.18778372,-0.18045282,-0.1793160111244506
-0.4111111111111112,0.5599407,-0.085688114,-0.23438883,-0.22929859,-0.221663,-0.22187390255082107
-0.38888888888888895,0.5607352,-0.13855791,-0.2634263,-0.25906134,-0.2516508,-0.25319235083239666
-0.3666666666666667,0.56161654,-0.18496561,-0.279984,-0.2765932,-0.27001143,-0.27269403367105816
-0.34444444444444455,0.56259966,-0.22324038,-0.28378534,-0.28158617,-0.2764516,-0.27994307115173567
-0.3222222222222223,0.56370324,-0.25155115,-0.27473688,-0.2738862,-0.27078772,-0.27465030496095155
-0.30000000000000004,0.5649509,-0.26795816,-0.25290346,-0.25351477,-0.25292826,-0.25667676592233657
-0.2777777777777778,0.56637275,-0.2704711,-0.21851587,-0.22063398,-0.22288227,-0.22603528703534248
-0.25555555555555565,0.56800795,-0.25716448,-0.17193842,-0.17554522,-0.18074465,-0.18289024207376048
-0.2333333333333334,0.56990856,-0.2263112,-0.11367273,-0.11868715,-0.12671328,-0.1275554129169736
-0.21111111111111114,0.57214457,-0.17653704,-0.044336796,-0.050615788,-0.061090946,-0.0604900118640358
-0.188888888888889,0.57481337,-0.1069932,0.035354137,0.028001308,0.015699863,0.017707092065938124
-0.16666666666666674,0.57805365,-0.01752472,0.12458372,0.116405964,0.10310459,0.1063048716945767
-0.1444444444444445,0.5820706,0.09119892,0.22246504,0.21375322,0.20042801,0.2044492726822883
-0.12222222222222223,0.5871806,0.21760488,0.3280368,0.31911612,0.30682135,0.3111738644080124
-0.10000000000000009,0.5938978,0.35923624,0.44028425,0.43150568,0.42127728,0.4254118794317561
-0.07777777777777772,0.6031167,0.5128491,0.5581546,0.5498767,0.5426345,0.5460094931169422
-0.05555555555555558,0.6165398,0.674615,0.68054914,0.67313623,0.6695895,0.6717401796960387
-0.03333333333333344,0.63783747,0.84038544,0.80633783,0.80014753,0.8007245,0.8013199677885903
-0.011111111111111072,0.67652696,1.0059876,0.9343858,0.9297414,0.9345255,0.9334234072891887
0.011111111111111072,0.76566243,1.1675134,1.0635247,1.0607276,1.0694356,1.0667000507710716
0.033333333333333215,1.0683557,1.3215461,1.1926055,1.191894,1.2038906,1.1997912462069884
0.05555555555555558,1.596216,1.4653354,1.3204627,1.3220181,1.3363607,1.3313470339709632
0.07777777777777772,1.76984,1.5968595,1.4459577,1.4498811,1.4653966,1.4600429398000476
0.09999999999999987,1.830287,1.7148337,1.5679584,1.5742612,1.5896573,1.5845964566798498
0.12222222222222223,1.8597934,1.818645,1.6853642,1.6939588,1.7079358,1.7037830124556765
0.14444444444444438,1.8771265,1.9082484,1.7971177,1.8078027,1.8191714,1.816451226315341
0.16666666666666652,1.8884995,1.9840617,1.9021983,1.9146543,1.9224572,1.9215372660616823
0.18888888888888888,1.8965259,2.0468173,1.9996467,2.0134416,2.0170321,2.01807812918447
0.21111111111111103,1.9024897,2.0974784,2.088573,2.103147,2.1022696,2.1052236840159
0.2333333333333334,1.907094,2.137136,2.1681619,2.1828618,2.177669,2.1822473225475565
0.25555555555555554,1.9107554,2.1669288,2.2376962,2.2517648,2.2428327,2.248555093610837
0.2777777777777777,1.9137363,2.187982,2.2965636,2.3091874,2.2974544,2.3036932038664286
0.30000000000000004,1.9162099,2.2014003,2.3442636,2.3546052,2.341312,2.3473537941800577
0.3222222222222222,1.9182956,2.2081943,2.3804355,2.3876786,2.37425,2.3793789202333393
0.34444444444444433,1.9200778,2.2093043,2.4048624,2.4082723,2.3961864,2.399762688367701
0.3666666666666667,1.9216185,2.2055736,2.4174762,2.4164853,2.4071107,2.4086515204128367
0.38888888888888884,1.9229631,2.1977668,2.4183798,2.4126496,2.4071016,2.4063425443284694
0.411111111111111,1.9241474,2.1865401,2.4078555,2.3973565,2.3963351,2.3932801306046247
0.43333333333333335,1.9251978,2.172483,2.3863516,2.3714337,2.3751159,2.370050617236135
0.4555555555555555,1.9261365,2.1561027,2.3545074,2.33594,2.3438973,2.337375288429607
0.47777777777777786,1.9269798,2.137838,2.3131318,2.2921147,2.3033123,2.2961016937400394
0.5,1.9277418,2.1180587,2.263206,2.2412972,2.2541933,2.2471934148040846
0.5222222222222221,1.9284337,2.0971007,2.2058702,2.1848798,2.1975856,2.191718405985068
0.5444444444444445,1.9290648,2.075235,2.1424026,2.1241841,2.1347513,2.130836052835261
0.5666666666666667,1.9296427,2.0526862,2.074204,2.0604215,2.0671453,2.065783108096515
0.5888888888888888,1.9301736,2.0296683,2.002767,1.9946427,1.996386,1.997858678806219
0.6111111111111112,1.9306636,2.0063376,1.9296546,1.9277787,1.9241886,1.9284084497808498
0.6333333333333333,1.9311166,1.9828353,1.8564625,1.8607163,1.8523111,1.8588083381697937
0.6555555555555554,1.9315372,1.9592834,1.7847972,1.7943711,1.782475,1.7904477807914154
0.6777777777777778,1.9319284,1.9357734,1.7162299,1.7298036,1.7162995,1.7247128604950714
0.7,1.9322932,1.9123855,1.6522927,1.6682439,1.655251,1.6629694797808567
0.7222222222222221,1.9326344,1.8891997,1.5944185,1.6110864,1.6006112,1.6065467893289727
0.7444444444444445,1.9329541,1.8662543,1.5439525,1.5598168,1.5534625,1.556721075949799
0.7666666666666666,1.9332541,1.8435988,1.5021024,1.5159574,1.5146942,1.5147003088027353
0.788888888888889,1.9335364,1.8212676,1.4699497,1.4809537,1.4850259,1.4816095346166016
0.8111111111111111,1.9338024,1.799295,1.4484215,1.4561315,1.4650326,1.4584773021768263
0.8333333333333333,1.9340537,1.7776923,1.4382925,1.4426179,1.4551897,1.446223283653985
0.8555555555555556,1.9342911,1.7564902,1.4401917,1.4413419,1.4559069,1.445647245590949
0.8777777777777778,1.934516,1.7356849,1.4545884,1.45299,1.4675694,1.4574195057239825
0.8999999999999999,1.9347291,1.7152839,1.4818187,1.4780507,1.4905725,1.4820729934918524
0.922222222222222,1.9349318,1.6953063,1.5220685,1.5167947,1.525353,1.5199970123122986
0.9444444444444446,1.9351244,1.6757483,1.575417,1.5693078,1.5724277,1.571432780720988
0.9666666666666668,1.9353076,1.6566024,1.6418157,1.6355233,1.6324139,1.6364708075331025
0.9888888888888889,1.9354824,1.6378684,1.7211232,1.7152162,1.7060642,1.7150501335725592
1.011111111111111,1.9356492,1.6195579,1.8131166,1.8080754,1.7942929,1.8069594494973762
1.0333333333333332,1.9358084,1.6016479,1.9174829,1.9136758,1.8982062,1.91184007611582
1.0555555555555554,1.9359608,1.5841422,2.0338578,2.031527,2.019135,2.0291907706219736
1.077777777777778,1.9361067,1.5670295,2.1618266,2.1610856,2.158657,2.1583742996644677
1.1,1.9362464,1.5503097,2.3009295,2.3017793,2.3186374,2.2986256983760414
